policy_loss,fps,nupdates,total_timesteps,value_loss,explained_variance,policy_entropy,ep_len_mean,ep_reward_mean
-0.2005443274974823,218,6100,859959,0.013797273859381676,0.9890081463381648,3.0962789058685303,1001.0,38553.85705566
-0.016537193208932877,218,6200,874059,0.00706822844222188,0.9954854417592287,3.052093505859375,1001.0,38742.575252580005
-0.15029138326644897,218,6300,888159,0.0061529637314379215,0.9969094302505255,3.0224409103393555,1001.0,38982.521616469996
-0.01085922122001648,218,6400,902259,0.0030178192537277937,0.9982459436869249,3.013221502304077,1001.0,39139.93227362
-0.10507591813802719,218,6500,916359,0.0016675314400345087,0.9989728986984119,3.0056490898132324,1001.0,38013.77616554
-0.06631942838430405,218,6600,930459,0.0066061969846487045,0.9958590376190841,2.984539270401001,1001.0,36386.648949149996
0.055254016071558,218,6700,944559,0.013679568655788898,-0.11036455631256104,2.965104341506958,1001.0,37001.04888711
-0.17345210909843445,218,6800,958659,0.002301251282915473,0.9983676796546206,2.962405204772949,1001.0,37904.12651143
-0.10460244864225388,218,6900,972759,0.002586876507848501,0.9981226131785661,2.9251558780670166,1001.0,36357.22273824
0.0807514637708664,219,7000,986859,0.0037394315004348755,0.9951146095991135,2.9124972820281982,1001.0,37848.83917146
-0.022545404732227325,219,7100,1000959,0.009998351335525513,0.9943229863420129,2.9058773517608643,1001.0,38716.19501019001
