value_loss,total_timesteps,policy_entropy,fps,policy_loss,nupdates,explained_variance,ep_reward_mean,ep_len_mean
0.00045255920849740505,732683,-5.295255661010742,197,-0.5212633609771729,43100,0.7370297610759735,1367.46901858,1000.0
0.0005626113270409405,734383,-5.331088542938232,196,0.2323213517665863,43200,-215.241455078125,1356.9882220099998,1000.0
0.0018285068217664957,736083,-5.332545280456543,196,-0.26641252636909485,43300,-0.1523888111114502,1343.35197772,1000.0
0.011424713768064976,737783,-5.334097385406494,196,0.5105222463607788,43400,-2638.656494140625,1320.6113117500001,1000.0
0.0293569378554821,739483,-5.301400184631348,196,0.2175654172897339,43500,0.10542356967926025,1307.34804687,1000.0
0.002303372137248516,741183,-5.306537628173828,196,0.03868803754448891,43600,-18.019920349121094,1309.9747657599999,1000.0
0.0007759098662063479,742883,-5.296128273010254,196,-0.5487760305404663,43700,-15.026329040527344,1293.0106018899999,1000.0
0.00011912467743968591,744583,-5.287241458892822,196,-0.19926717877388,43800,-9495.7578125,1280.50516854,1000.0
0.0010011584963649511,746283,-5.281065940856934,196,-0.1092163622379303,43900,-195.68240356445312,1251.58772372,1000.0
0.006660971324890852,747983,-5.290862560272217,196,-0.4346586763858795,44000,-1.204904317855835,1223.22396056,1000.0
0.0058192238211631775,749683,-5.284971714019775,196,-0.1822039783000946,44100,-44.990814208984375,1211.40289379,1000.0
0.0006252238526940346,751383,-5.29617166519165,196,0.15368446707725525,44200,-47.75560760498047,1192.2945017,1000.0
0.0031220647506415844,753083,-5.321863651275635,196,0.17453953623771667,44300,-23.675071716308594,1183.2504503,1000.0
0.0003416122926864773,754783,-5.3283209800720215,196,0.33584150671958923,44400,-10.432561874389648,1164.3152124,1000.0
0.0001465989917051047,756483,-5.338310241699219,196,0.3204074501991272,44500,nan,1138.77916909,1000.0
2.816137794070528e-06,758183,-5.358949184417725,196,-0.11924391239881516,44600,-0.049216389656066895,1124.7059026600002,1000.0
7.967493729665875e-05,759883,-5.3312811851501465,196,-0.23796096444129944,44700,-4.770994663238525,1100.07496265,1000.0
4.6353570724022575e-06,761583,-5.323976516723633,196,0.523654580116272,44800,-64.53753662109375,1082.8961678599999,1000.0
0.0003188750706613064,763283,-5.339385986328125,196,-0.1762925684452057,44900,-0.5121294260025024,1053.41967117,1000.0
0.00017783882503863424,764983,-5.358816146850586,196,-0.3579050600528717,45000,nan,1025.36981383,1000.0
0.0029617866966873407,766683,-5.346767425537109,196,-0.13767504692077637,45100,0.06124967336654663,1008.12318314,1000.0
0.00012558046728372574,768383,-5.365178108215332,196,0.31118008494377136,45200,-1.2745933532714844,975.1777699999999,1000.0
0.0005881670513190329,770083,-5.3731207847595215,196,-0.428815096616745,45300,-3.9143118858337402,959.01034103,1000.0
0.003968528937548399,771783,-5.374027729034424,196,-0.3122934401035309,45400,-0.010845541954040527,931.47092845,1000.0
5.027997758588754e-06,773483,-5.426244258880615,196,-0.13920660316944122,45500,nan,907.38254965,1000.0
0.0010227891616523266,775183,-5.4236297607421875,196,0.6824237108230591,45600,-0.6510157585144043,889.32571668,1000.0
1.4745646694791503e-05,776883,-5.438958168029785,196,-0.13667598366737366,45700,0.042603492736816406,857.9193869100001,1000.0
5.263959610601887e-05,778583,-5.455978870391846,196,0.4838373064994812,45800,-1.4117255210876465,840.66528466,1000.0
0.002337091602385044,780283,-5.4572038650512695,195,-0.06333883106708527,45900,0.2699786424636841,808.0809519000001,1000.0
0.008937651291489601,781983,-5.408840656280518,195,-0.7645665407180786,46000,nan,787.5106873099999,1000.0
0.000704541802406311,783683,-5.512246608734131,195,0.0784972757101059,46100,-21.337337493896484,771.53457259,1000.0
0.0007949392893351614,785383,-5.490828514099121,195,-0.061883702874183655,46200,-0.06893289089202881,740.24380495,1000.0
2.4521145860489924e-06,787083,-5.5402655601501465,195,-0.0013234145008027554,46300,-0.03256106376647949,727.3633465099999,1000.0
3.082436160184443e-05,788783,-5.533777236938477,195,0.45408856868743896,46400,-0.4049566984176636,703.96597274,1000.0
0.0031462241895496845,790483,-5.519739151000977,195,-0.07651229202747345,46500,nan,674.52238216,1000.0
0.001849797205068171,792183,-5.549622535705566,195,-0.95818030834198,46600,-0.8329691886901855,657.03201564,1000.0
0.00022251599875744432,793883,-5.546390056610107,195,0.5412469506263733,46700,0.07122886180877686,622.44471133,1000.0
1.7724018107401207e-05,795583,-5.551572322845459,195,0.8150779008865356,46800,-4.218667507171631,607.4469819799999,1000.0
0.0010970652801916003,797283,-5.514203071594238,195,0.12076364457607269,46900,-0.026787996292114258,577.5750085799999,1000.0
0.001856400165706873,798983,-5.556286334991455,195,-0.5384155511856079,47000,nan,551.5257454099999,1000.0
8.132557559292763e-05,800683,-5.568442344665527,195,-0.2136477380990982,47100,-0.3106534481048584,534.8366556899999,1000.0
0.0006765354191884398,802383,-5.602980613708496,195,0.17553605139255524,47200,0.059744179248809814,509.32472012,1000.0
7.469046977348626e-05,804083,-5.596164703369141,195,-0.29559069871902466,47300,-0.05299234390258789,495.69876838,1000.0
0.0011213694233447313,805783,-5.66626501083374,194,-0.24761927127838135,47400,-3.149811267852783,467.4260632,1000.0
0.0020036520436406136,807483,-5.657421588897705,194,-0.2925976514816284,47500,nan,439.6699012699999,1000.0
