,ent_coef,gamma,kfac_clip,learning_rate,lr_schedule,max_grad_norm,n_steps,vf_coef,vf_fisher_coef,mean_auc,std_auc,mean_fer,std_fer
148,0.1,0.99,0.001,0.3,linear,0.5,32,0.75,1.0,56961.12,4431.49,53115.12,3094.92
149,0.1,0.99,0.001,0.02,constant,0.5,32,0.25,1.0,57053.94,4596.09,52350.76,4394.61
150,0.1,0.99,0.001,0.05,linear,0.5,32,0.25,1.0,57158.31,4123.59,52826.94,3904.49
151,0.01,0.99,0.001,0.05,double_middle_drop,0.5,32,0.75,1.0,57159.97,4052.46,50264.24,4659.06
152,0.01,0.99,0.001,0.3,double_middle_drop,0.5,32,0.5,1.0,57276.37,5027.09,48543.41,8947.7
153,0.0,0.99,0.001,0.05,double_middle_drop,0.5,32,1.0,1.0,57307.79,4037.96,49643.92,4905.83
154,0.001,0.99,0.001,0.3,double_middle_drop,0.5,32,0.25,1.0,57462.18,5203.09,47818.17,14295.71
155,0.001,0.99,0.001,0.05,double_middle_drop,0.5,32,0.5,1.0,57492.0,3719.19,51118.82,4061.24
156,0.0,0.99,0.001,0.05,double_middle_drop,0.5,32,0.5,1.0,57645.61,3542.79,51240.11,5003.9
157,0.1,0.99,0.001,0.12,constant,0.5,32,0.25,1.0,57647.57,3284.27,55184.0,3599.09
158,0.1,0.99,0.001,0.3,double_middle_drop,0.5,32,0.75,1.0,57664.01,3432.7,55339.96,4024.48
159,0.1,0.99,0.001,0.12,double_middle_drop,0.5,32,1.0,1.0,57670.87,3743.2,52672.82,3088.79
160,0.001,0.99,0.001,0.05,double_middle_drop,0.5,32,1.0,1.0,57684.95,3579.92,52156.71,5107.24
161,0.0,0.99,0.001,0.3,linear,0.5,32,0.25,1.0,57685.86,5668.87,47860.2,13218.35
162,0.01,0.99,0.001,0.05,double_middle_drop,0.5,32,0.5,1.0,57784.7,3599.57,51798.32,3319.16
163,0.1,0.99,0.001,0.12,double_middle_drop,0.5,32,0.5,1.0,57886.65,3845.64,52791.87,3983.92
164,0.1,0.99,0.001,0.3,double_middle_drop,0.5,32,0.5,1.0,58026.65,3648.44,54896.1,4859.43
165,0.0,0.99,0.001,0.02,double_middle_drop,0.5,32,0.75,1.0,58198.91,2751.18,55086.63,2355.2
166,0.001,0.99,0.001,0.02,double_middle_drop,0.5,32,0.5,1.0,58254.2,2751.25,55108.59,4513.82
