,ent_coef,gamma,kfac_clip,learning_rate,lr_schedule,max_grad_norm,n_steps,vf_coef,vf_fisher_coef,mean_auc,std_auc,mean_fer,std_fer
134,0.1,0.99,0.001,0.12,double_middle_drop,0.5,32,0.75,1.0,53838.51,5385.93,45837.17,6025.31
135,0.01,0.99,0.001,0.05,double_middle_drop,0.5,32,0.5,1.0,53945.88,6135.26,42140.85,5560.79
136,0.001,0.99,0.001,0.3,linear,0.5,32,0.25,1.0,53953.57,7733.77,42217.69,17395.45
137,0.1,0.99,0.001,0.3,linear,0.5,32,1.0,1.0,54316.8,6183.55,48526.16,5748.55
138,0.1,0.99,0.001,0.12,constant,0.5,32,0.25,1.0,54344.87,5663.49,48704.05,2330.76
139,0.0,0.99,0.001,0.05,double_middle_drop,0.5,32,0.5,1.0,54354.93,5561.23,43639.72,9965.5
140,0.001,0.99,0.001,0.05,double_middle_drop,0.5,32,0.75,1.0,54532.79,6316.79,42839.86,9203.96
141,0.01,0.99,0.001,0.05,double_middle_drop,0.5,32,0.75,1.0,54580.09,6377.28,41582.71,5113.53
142,0.1,0.99,0.001,0.05,constant,0.5,32,0.5,1.0,54622.27,5707.89,48551.05,5974.57
143,0.1,0.99,0.001,0.12,constant,0.5,32,0.5,1.0,54751.82,4959.92,50237.19,4692.79
144,0.1,0.99,0.001,0.3,constant,0.5,32,1.0,1.0,54775.68,6203.95,47353.57,3122.95
145,0.1,0.99,0.001,0.12,linear,0.5,32,1.0,1.0,54897.71,5273.68,49971.12,5875.09
146,0.01,0.99,0.001,0.3,constant,0.5,32,1.0,1.0,54981.05,6261.18,45549.38,14484.79
147,0.001,0.99,0.001,0.05,double_middle_drop,0.5,32,1.0,1.0,55066.43,5241.94,45218.47,6758.41
148,0.1,0.99,0.001,0.3,double_middle_drop,0.5,32,1.0,1.0,55264.22,5031.62,49951.99,4577.96
149,0.1,0.99,0.001,0.02,constant,0.5,32,0.25,1.0,55446.41,5414.35,49630.43,5127.13
150,0.1,0.99,0.001,0.12,linear,0.5,32,0.5,1.0,55502.72,5048.65,51144.08,4338.58
151,0.001,0.99,0.001,0.3,constant,0.5,32,0.25,1.0,55503.7,6038.61,45360.81,15037.07
152,0.01,0.99,0.001,0.05,double_middle_drop,0.5,32,1.0,1.0,55527.56,4685.68,45708.63,6404.55
153,0.001,0.99,0.001,0.3,double_middle_drop,0.5,32,0.25,1.0,55530.4,5132.94,46225.91,13456.2
154,0.1,0.99,0.001,0.3,double_middle_drop,0.5,32,0.5,1.0,55591.69,4806.03,52187.47,6938.54
155,0.01,0.99,0.001,0.05,double_middle_drop,0.5,32,0.25,1.0,55627.41,4637.49,46958.49,8787.8
156,0.1,0.99,0.001,0.3,linear,0.5,32,0.75,1.0,55743.06,4224.67,52058.45,4807.25
157,0.1,0.99,0.001,0.02,linear,0.5,32,1.0,1.0,56052.17,5083.98,50695.63,4268.27
158,0.01,0.99,0.001,0.02,double_middle_drop,0.5,32,1.0,1.0,56314.21,3844.0,51292.11,3461.0
159,0.1,0.99,0.001,0.12,double_middle_drop,0.5,32,1.0,1.0,56343.8,4797.93,49306.23,1514.87
160,0.1,0.99,0.001,0.12,linear,0.5,32,0.25,1.0,56353.11,4523.33,52704.82,4469.32
161,0.0,0.99,0.001,0.05,double_middle_drop,0.5,32,0.75,1.0,56452.31,4321.47,48500.34,4615.63
162,0.1,0.99,0.001,0.05,double_middle_drop,0.5,32,0.75,1.0,56486.72,3585.27,51872.52,1949.87
163,0.1,0.99,0.001,0.12,double_middle_drop,0.5,32,0.5,1.0,56546.78,4354.65,49416.42,3591.41
164,0.001,0.99,0.001,0.02,double_middle_drop,0.5,32,0.5,1.0,56614.33,3558.31,51795.64,1613.54
165,0.1,0.99,0.001,0.3,linear,0.5,32,0.25,1.0,56635.91,3872.91,52948.91,4025.12
166,0.0,0.99,0.001,0.05,double_middle_drop,0.5,32,0.25,1.0,56647.63,4013.33,48410.04,4073.73
167,0.1,0.99,0.001,0.02,linear,0.5,32,0.25,1.0,56788.57,3656.6,53632.01,3303.82
168,0.1,0.99,0.001,0.3,double_middle_drop,0.5,32,0.75,1.0,56822.17,4390.27,51271.56,4327.91
169,0.0,0.99,0.001,0.02,double_middle_drop,0.5,32,0.5,1.0,56967.38,3488.13,51439.42,5374.9
170,0.1,0.99,0.001,0.3,constant,0.5,32,0.25,1.0,57254.89,4668.52,51801.05,4645.33
171,0.1,0.99,0.001,0.3,constant,0.5,32,0.5,1.0,57265.27,3524.53,54511.52,2585.98
172,0.1,0.99,0.001,0.05,double_middle_drop,0.5,32,0.5,1.0,57387.95,3143.86,54107.85,1696.71
173,0.0,0.99,0.001,0.02,double_middle_drop,0.5,32,0.25,1.0,57474.32,2897.34,54461.83,2797.97
174,0.1,0.99,0.001,0.05,double_middle_drop,0.5,32,0.25,1.0,57746.33,3083.37,54176.01,1977.14
175,0.1,0.99,0.001,0.05,double_middle_drop,0.5,32,1.0,1.0,57776.34,3144.61,53923.51,2997.32
176,0.001,0.99,0.001,0.02,double_middle_drop,0.5,32,0.75,1.0,57872.74,2920.23,54388.66,4982.7
177,0.1,0.99,0.001,0.12,double_middle_drop,0.5,32,0.25,1.0,57898.79,3520.69,52152.83,3750.75
178,0.0,0.99,0.001,0.02,double_middle_drop,0.5,32,0.75,1.0,57934.12,2861.03,53778.72,4951.17
179,0.1,0.99,0.001,0.02,double_middle_drop,0.5,32,1.0,1.0,58009.95,2728.11,55388.67,2130.58
180,0.01,0.99,0.001,0.02,double_middle_drop,0.5,32,0.75,1.0,58012.18,3005.24,54024.07,3068.57
181,0.1,0.99,0.001,0.3,linear,0.5,32,0.5,1.0,58093.95,3225.21,55933.8,2889.23
182,0.1,0.99,0.001,0.02,double_middle_drop,0.5,32,0.75,1.0,58133.83,2602.77,55566.0,4021.88
183,0.1,0.99,0.001,0.3,double_middle_drop,0.5,32,0.25,1.0,58403.34,3569.11,54437.84,2543.16
184,0.1,0.99,0.001,0.02,double_middle_drop,0.5,32,0.25,1.0,58566.32,2330.63,55573.01,2774.25
185,0.0,0.99,0.001,0.02,double_middle_drop,0.5,32,1.0,1.0,58609.78,2877.34,54212.4,2352.9
186,0.1,0.99,0.001,0.02,double_middle_drop,0.5,32,0.5,1.0,58731.14,2573.18,55209.33,2535.89
187,0.001,0.99,0.001,0.02,double_middle_drop,0.5,32,1.0,1.0,58772.06,2459.0,56560.21,2093.67
188,0.01,0.99,0.001,0.02,double_middle_drop,0.5,32,0.25,1.0,58787.8,2803.21,54869.03,6103.59
189,0.01,0.99,0.001,0.02,double_middle_drop,0.5,32,0.5,1.0,58850.01,2406.6,56158.73,4021.68
190,0.001,0.99,0.001,0.02,double_middle_drop,0.5,32,0.25,1.0,59485.17,2176.21,57350.15,3452.68
191,0.1,0.99,0.001,0.3,constant,0.5,32,0.75,1.0,59526.35,2632.51,57272.74,5870.29
192,0.01,0.99,0.001,0.3,constant,0.5,32,0.25,1.0,61617.36,1645.05,59816.16,2474.58
