value_loss,fps,explained_variance,total_timesteps,nupdates,policy_entropy,ep_len_mean,ep_reward_mean
130779.203125,292,2.1457672119140625e-06,357000,10200,8.806081771850586,1000.0,11191.437169569996
917.7847900390625,293,-1.0251998901367188e-05,360500,10300,8.798280715942383,1000.0,11191.437169569996
133685.40625,292,7.867813110351562e-06,364000,10400,8.823076248168945,1000.0,11336.609177539998
1066.540283203125,293,3.6954879760742188e-06,367500,10500,8.829657554626465,1000.0,11336.609177539998
139174.046875,292,5.960464477539063e-08,371000,10600,8.827287673950195,1000.0,11483.785079320001
430.0235900878906,293,1.2874603271484375e-05,374500,10700,8.808022499084473,1000.0,11483.785079320001
142195.515625,293,7.987022399902344e-06,378000,10800,8.800019264221191,1000.0,11523.95926655
607.6605224609375,294,-1.5854835510253906e-05,381500,10900,8.788043975830078,1000.0,11523.95926655
162450.96875,293,5.3048133850097656e-05,385000,11000,8.754459381103516,1000.0,11541.49618843
884.8944091796875,294,-1.823902130126953e-05,388500,11100,8.749831199645996,1000.0,11541.49618843
166062.421875,293,-2.2649765014648438e-06,392000,11200,8.742141723632812,1000.0,11519.665286290001
768.527587890625,294,-9.417533874511719e-06,395500,11300,8.761734962463379,1000.0,11519.665286290001
164085.921875,293,-1.2636184692382812e-05,399000,11400,8.728365898132324,1000.0,11610.54735078
711.285888671875,294,6.4373016357421875e-06,402500,11500,8.722020149230957,1000.0,11610.54735078
169610.859375,294,-8.344650268554688e-07,406000,11600,8.657354354858398,1000.0,11720.162078870002
924.892333984375,294,1.8537044525146484e-05,409500,11700,8.616937637329102,1000.0,11720.162078870002
178537.953125,294,-4.76837158203125e-07,413000,11800,8.621492385864258,1000.0,11829.790158019998
411.5771179199219,294,1.430511474609375e-05,416500,11900,8.60683822631836,1000.0,11829.790158019998
189098.78125,294,-2.5033950805664062e-06,420000,12000,8.579862594604492,1000.0,11947.53581799
922.6853637695312,295,6.556510925292969e-07,423500,12100,8.60763931274414,1000.0,11947.53581799
189911.953125,294,4.470348358154297e-06,427000,12200,8.60741901397705,1000.0,12047.496517439999
1081.6920166015625,295,-4.0411949157714844e-05,430500,12300,8.566380500793457,1000.0,12047.496517439999
202048.671875,294,-1.8596649169921875e-05,434000,12400,8.606327056884766,1000.0,12159.01260806
481.25439453125,295,-7.62939453125e-06,437500,12500,8.580554962158203,1000.0,12159.01260806
210186.890625,295,3.993511199951172e-06,441000,12600,8.588783264160156,1000.0,12133.529974549998
884.244384765625,295,1.7285346984863281e-06,444500,12700,8.588704109191895,1000.0,12133.529974549998
223278.03125,295,-9.5367431640625e-07,448000,12800,8.545832633972168,1000.0,12183.36112096
641.3773193359375,295,-4.0531158447265625e-06,451500,12900,8.520499229431152,1000.0,12183.36112096
230476.734375,295,2.086162567138672e-05,455000,13000,8.512341499328613,1000.0,12272.83113155
