fps,approxkl,serial_timesteps,total_timesteps,policy_entropy,explained_variance,value_loss,time_elapsed,policy_loss,n_updates,clipfrac,ep_reward_mean,ep_len_mean
274,0.015191519,43104,172416,7.4035645,0.007623851299285889,0.0012789342,964.5037693977356,-0.010081582,1347,0.21289062,58490.404133799995,500.0
256,0.023473414,43136,172544,7.406772,0.021067321300506592,0.0008323482,964.9708971977234,-0.0045453208,1348,0.25390625,58490.404133799995,500.0
260,0.09263741,43168,172672,7.4006457,0.006875097751617432,0.0007710772,965.4696674346924,0.060943477,1349,0.5566406,58490.404133799995,500.0
258,0.01717342,43200,172800,7.4001503,0.03796970844268799,0.0004738451,965.9617803096771,0.0018122385,1350,0.22070312,58490.404133799995,500.0
253,0.01842509,43232,172928,7.403987,0.015437006950378418,0.00047021793,966.4569456577301,-0.009432314,1351,0.25585938,58490.404133799995,500.0
240,0.024973633,43264,173056,7.400328,0.004725456237792969,0.00049619906,966.9633333683014,-0.0065711597,1352,0.29101562,58490.404133799995,500.0
253,0.020044127,43296,173184,7.3897767,0.0381200909614563,0.00041118753,967.496260881424,0.0054666568,1353,0.27148438,58490.404133799995,500.0
257,0.01543445,43328,173312,7.388483,-9.810924530029297e-05,0.00038060275,968.0020010471344,-0.019826818,1354,0.22460938,58490.404133799995,500.0
266,0.03095961,43360,173440,7.3974733,-0.02034461498260498,0.00029613412,968.5004751682281,0.027015239,1355,0.35546875,58490.404133799995,500.0
239,0.040804487,43392,173568,7.4032607,-0.028879404067993164,0.00017511046,968.9807722568512,0.029684547,1356,0.33398438,58490.404133799995,500.0
254,0.04040905,43424,173696,7.406163,-0.1688237190246582,0.00023591756,969.5157477855682,-0.0043630213,1357,0.3984375,58490.404133799995,500.0
236,0.03151241,43456,173824,7.407929,-0.0028933286666870117,0.00017702888,970.0198833942413,-0.0010573422,1358,0.25585938,58490.404133799995,500.0
239,0.10144996,43488,173952,7.4089823,0.017039120197296143,0.00021596705,970.5627315044403,0.023472145,1359,0.5390625,58490.404133799995,500.0
31,0.020062113,43520,174080,7.4092865,-0.0031991004943847656,0.67135096,971.0983657836914,-0.0185804,1360,0.265625,58532.41700741,500.0
241,0.03149323,43552,174208,7.4078817,0.02136242389678955,0.0029318163,975.1924459934235,0.011968314,1361,0.34960938,58532.41700741,500.0
266,0.024470542,43584,174336,7.408982,0.003569662570953369,0.0013267553,975.7240962982178,-0.005496922,1362,0.31445312,58532.41700741,500.0
263,0.034515396,43616,174464,7.4124656,0.0031591057777404785,0.0009402224,976.2051708698273,-0.016370416,1363,0.34765625,58532.41700741,500.0
246,0.11136556,43648,174592,7.418859,-0.007534384727478027,0.0009649249,976.6909346580505,0.053070564,1364,0.5644531,58532.41700741,500.0
267,0.052804977,43680,174720,7.4208016,0.005769491195678711,0.0008841691,977.2106006145477,0.026500285,1365,0.44335938,58532.41700741,500.0
265,0.046897534,43712,174848,7.4213247,0.034905195236206055,0.0006990487,977.6889488697052,0.027148597,1366,0.37890625,58532.41700741,500.0
277,0.031893604,43744,174976,7.4237137,0.0013794302940368652,0.00073463493,978.1722497940063,0.008939147,1367,0.33203125,58532.41700741,500.0
255,0.08299524,43776,175104,7.4284635,0.04552185535430908,0.00043759425,978.6346786022186,0.060590155,1368,0.51171875,58532.41700741,500.0
265,0.026566667,43808,175232,7.4325304,0.008077859878540039,0.0005411739,979.1373498439789,-0.003196513,1369,0.29101562,58532.41700741,500.0
265,0.03285106,43840,175360,7.4361076,0.05519300699234009,0.00031122717,979.62073969841,-0.01107406,1370,0.35742188,58532.41700741,500.0
250,0.020846354,43872,175488,7.442169,-0.03972268104553223,0.00017665669,980.1043889522552,0.007735677,1371,0.26171875,58532.41700741,500.0
247,0.054276112,43904,175616,7.4473844,0.02600032091140747,0.00010673446,980.6167471408844,0.009338198,1372,0.37109375,58532.41700741,500.0
233,0.03543132,43936,175744,7.446104,0.033386945724487305,0.0002801472,981.1343562602997,0.024965134,1373,0.33984375,58532.41700741,500.0
247,0.09089471,43968,175872,7.4443974,-0.03690981864929199,0.00015659194,981.6842980384827,0.057232782,1374,0.4921875,58532.41700741,500.0
29,0.021026915,44000,176000,7.4448133,0.000202178955078125,0.78944856,982.2025849819183,-0.010109665,1375,0.26953125,58612.126449840005,500.0
