policy_loss,total timesteps,entropy,qf2_loss,current_lr,qf1_loss,n_updates,mean 100 episode reward,ent_coef,value_loss,episodes,fps,eplenmean,ep_rewmean,time_elapsed,ent_coef_loss
-1.8123258,451000,-0.7913135,5.2472886e-05,0.0003,2.4221576e-05,450900,22.2,0.00038194333,0.00012801334,452,94,1000.0,109126.41698931,4766,-5.5453115
-1.6838939,455000,0.6841203,6.2749044e-05,0.0003,4.3720098e-05,454900,22.3,0.0005734537,9.528639e-05,456,94,1000.0,109804.73926522002,4808,13.736261
-1.734402,459000,0.14130953,2.9536788e-05,0.0003,4.315241e-05,458900,22.2,0.00038756625,2.5930232e-05,460,94,1000.0,109554.15570467999,4852,-6.026664
-1.7832053,463000,-0.5571235,1.7830122e-05,0.0003,2.4847406e-05,462900,22.2,0.0001880946,7.815102e-06,464,94,1000.0,109504.21617739,4894,5.439883
-1.8060861,467000,-1.14588,9.0449044e-05,0.0003,8.044041e-05,466900,22.2,0.0001229499,0.000119713935,468,94,1000.0,109195.88133943,4936,2.4084625
-1.8406622,471000,0.005918637,4.7324487e-05,0.0003,9.0451955e-05,470900,22.1,0.00023287509,3.22618e-05,472,94,1000.0,108915.06210801,4979,9.033092
-1.8868912,475000,0.064522386,6.458068e-05,0.0003,5.4806016e-05,474900,22.2,0.00015795844,3.691527e-05,476,94,1000.0,109404.09608892999,5022,-6.414666
-1.9373707,479000,-0.35948545,1.219656e-05,0.0003,1.6448745e-05,478900,22.3,0.00013215945,6.0450166e-06,480,94,1000.0,109817.30963890001,5064,1.1936607
-1.9669497,483000,-0.7081078,7.2354655e-05,0.0003,8.49101e-05,482900,22.3,0.00013816023,2.2159897e-05,484,94,1000.0,109920.50785793999,5107,-3.1866019
-1.9859498,487000,-1.1826582,3.46423e-05,0.0003,6.8498055e-05,486900,22.3,0.00014798419,3.1781386e-05,488,94,1000.0,109519.17300476,5150,-6.0983224
-1.9822363,491000,-2.4290738,5.8962236e-05,0.0003,8.216688e-05,490900,21.9,0.00017234919,2.2115346e-05,492,94,1000.0,107725.86595732,5193,4.483935
-1.9616398,495000,-1.5754073,4.1452004e-05,0.0003,3.4696845e-05,494900,21.7,0.00023156205,9.9569996e-05,496,94,1000.0,106557.12994476002,5237,1.4388739
-1.9371705,499000,0.49807525,7.496898e-05,0.0003,6.153197e-05,498900,21.6,0.00024884287,3.9485527e-05,500,94,1000.0,106130.15789604001,5281,-2.8176477
