total_timesteps,nupdates,policy_entropy,explained_variance,fps,value_loss,ep_len_mean,ep_reward_mean
402500,11500,30.015485763549805,-0.6324776411056519,183,0.008102328516542912,300.0,1503.1796533000004
406000,11600,30.211000442504883,0.1682766079902649,183,0.0011418203357607126,300.0,1456.31543043
409500,11700,30.42007827758789,-0.026747941970825195,182,2.0009353160858154,300.0,1411.0177533799997
413000,11800,30.679595947265625,-1.9278583526611328,183,0.0030476097017526627,300.0,1385.54341308
416500,11900,30.91236686706543,-0.14575135707855225,182,0.002585297217592597,300.0,1351.8712795
420000,12000,31.100942611694336,-0.5132672786712646,182,1.6783618927001953,300.0,1295.86373459
423500,12100,31.296045303344727,-0.03636825084686279,182,0.0020667321514338255,300.0,1270.54299394
427000,12200,31.50399398803711,0.006737768650054932,182,0.0037884903140366077,300.0,1228.38262876
430500,12300,31.75975227355957,-2.0016355514526367,182,1.1623607873916626,300.0,1197.24310844
434000,12400,31.995159149169922,-0.0018829107284545898,182,0.002288015792146325,300.0,1188.42255567
437500,12500,32.213401794433594,-0.17368078231811523,182,0.003600321477279067,300.0,1157.2905900500002
441000,12600,32.46567153930664,-1.0149521827697754,182,0.8906945586204529,300.0,1114.8129822
444500,12700,32.721431732177734,0.07567387819290161,182,0.005116238724440336,300.0,1087.14454135
448000,12800,32.970943450927734,0.22838175296783447,182,0.0030847578309476376,300.0,1037.60491029
451500,12900,33.216182708740234,-3.0881223678588867,182,0.738610029220581,300.0,979.3061044799999
455000,13000,33.45644760131836,0.21616947650909424,182,0.006443423684686422,300.0,958.0384900699999
458500,13100,33.703914642333984,0.08125442266464233,182,0.0015690260333940387,300.0,907.15324184
462000,13200,33.91759490966797,-0.41854405403137207,181,0.6935834884643555,300.0,865.44152023
465500,13300,34.143760681152344,0.4320952296257019,181,0.0009897949639707804,300.0,836.7963479599999
469000,13400,34.39564514160156,0.4103217124938965,181,0.0029249372892081738,300.0,793.6998786600001
472500,13500,34.594970703125,-1.7044856548309326,181,0.49608519673347473,300.0,759.6591051600002
476000,13600,34.84316635131836,0.046195149421691895,181,0.030395401641726494,300.0,744.1195215099999
479500,13700,35.07816696166992,0.3200412392616272,181,0.0010577564826235175,300.0,717.78618038
483000,13800,35.33639907836914,-0.2754460573196411,181,0.30999353528022766,300.0,684.1663596899999
486500,13900,35.568904876708984,0.46043115854263306,181,0.0014527208404615521,300.0,656.77029855
490000,14000,35.80036163330078,0.3869856595993042,181,0.002005989896133542,300.0,631.67494058
493500,14100,36.02456283569336,-1.2111196517944336,180,0.29586902260780334,300.0,602.2030613200001
497000,14200,36.25154495239258,-0.22280466556549072,181,0.0035825222730636597,300.0,582.19345303
