EpisodesSoFar,TimeElapsed,TimestepsSoFar,entropy,entloss,surrgain,EpThisIter,meankl,EpLenMean,optimgain,explained_variance_tdlam_before,EpRewMean
346,2923.4063045978546,347136,0.7203905,0.0,0.031961974,1,0.010819625,1001.0,0.031961974,-0.15744805335998535,45760.053337225
347,2931.7002518177032,348160,0.7238719,0.0,0.029373236,1,0.013169384,1001.0,0.029373236,0.42100411653518677,45779.294574175
348,2939.9237010478973,349184,0.6856608,0.0,0.024177365,1,0.011968017,1001.0,0.024177365,-0.00329744815826416,46013.017009949996
349,2948.1175498962402,350208,0.65010905,0.0,0.025397012,1,0.010170911,1001.0,0.025397012,-0.0025223493576049805,46304.126626225
350,2956.5867912769318,351232,0.64675677,0.0,0.024549171,1,0.010053595,1001.0,0.024549171,0.0013459324836730957,46949.054983124995
351,2964.8687143325806,352256,0.641324,0.0,0.022148076,1,0.009713703,1001.0,0.022148076,-0.004256010055541992,47611.785074325
352,2973.083606004715,353280,0.6248826,0.0,0.020819088,1,0.010994159,1001.0,0.020819088,0.0016524791717529297,47874.761795624996
353,2981.332582950592,354304,0.5894309,0.0,0.02095176,1,0.010222308,1001.0,0.02095176,-0.0030709505081176758,48203.407522725
354,2989.6497440338135,355328,0.60545343,0.0,0.01886053,1,0.010457743,1001.0,0.01886053,-0.0008357763290405273,49026.722239250004
355,2998.2027909755707,356352,0.5714028,0.0,0.026300663,1,0.011059392,1001.0,0.026300663,-0.001109480857849121,49691.43628785
357,3008.136049747467,357376,0.5757448,0.0,0.027613854,2,0.010209833,1001.0,0.027613854,-0.013797640800476074,50209.54827885
358,3016.8621697425842,358400,0.5605513,0.0,0.017903727,1,0.0107488,1001.0,0.017903727,0.07500755786895752,50687.452596625
359,3025.3941593170166,359424,0.57656604,0.0,0.02112198,1,0.009900604,1001.0,0.02112198,0.06458157300949097,50819.577813275
360,3033.6243119239807,360448,0.5820312,0.0,0.02746454,1,0.010638587,1001.0,0.02746454,-0.005831003189086914,51019.926621825005
361,3042.020620584488,361472,0.5624763,0.0,0.030555528,1,0.010838294,1001.0,0.030555528,-0.005819916725158691,51361.856182200005
362,3050.8305518627167,362496,0.48072153,0.0,0.024996944,1,0.010376431,1001.0,0.024996944,0.008401215076446533,51811.35797980001
363,3059.189654827118,363520,0.47277835,0.0,0.025907164,1,0.01025435,1001.0,0.025907164,0.11788690090179443,52044.20164585
364,3067.654860973358,364544,0.46056667,0.0,0.025675287,1,0.011479715,1001.0,0.025675287,0.3218047022819519,52358.5438553
365,3075.9507071971893,365568,0.45287707,0.0,0.022856588,1,0.011569648,1001.0,0.022856588,-0.008593082427978516,52920.865395199995
366,3084.188399553299,366592,0.45459267,0.0,0.019091465,1,0.010390008,1001.0,0.019091465,0.2688146233558655,53342.79358507499
367,3092.968922138214,367616,0.4541547,0.0,0.023071345,1,0.009750118,1001.0,0.023071345,-0.02500450611114502,53122.830489225
368,3101.6146733760834,368640,0.43748587,0.0,0.024976645,1,0.010221899,1001.0,0.024976645,0.008905529975891113,52881.98918087501
369,3110.03950047493,369664,0.42952076,0.0,0.020657087,1,0.009790944,1001.0,0.020657087,0.4881013035774231,53045.26316270001
370,3118.3460602760315,370688,0.43536657,0.0,0.02218542,1,0.011301167,1001.0,0.02218542,0.31974440813064575,53337.058304175
371,3127.111978292465,371712,0.43325427,0.0,0.028239522,1,0.0110671185,1001.0,0.028239522,-0.005841255187988281,53572.869644850005
372,3136.0651667118073,372736,0.45165148,0.0,0.02202926,1,0.010256277,1001.0,0.02202926,-0.023996949195861816,53870.52231360001
373,3144.6039819717407,373760,0.4619598,0.0,0.018678391,1,0.010468521,1001.0,0.018678391,-0.0028302669525146484,54078.89629247501
374,3153.282170534134,374784,0.48175073,0.0,0.02328777,1,0.011011897,1001.0,0.02328777,-0.01799929141998291,54288.426445725
375,3161.850175380707,375808,0.44924626,0.0,0.024877027,1,0.014364531,1001.0,0.024877027,-0.020479917526245117,54430.025274425
376,3170.4074845314026,376832,0.42842206,0.0,0.025255157,1,0.010090655,1001.0,0.025255157,-0.0092238187789917,54703.852085374994
377,3178.9027915000916,377856,0.4162589,0.0,0.027686808,1,0.011180905,1001.0,0.027686808,0.0006184577941894531,54586.39557602501
378,3187.3891553878784,378880,0.38879654,0.0,0.022182163,1,0.010467432,1001.0,0.022182163,-0.015145421028137207,54520.093584350005
379,3195.9249382019043,379904,0.36505923,0.0,0.028943654,1,0.011943291,1001.0,0.028943654,-0.024889230728149414,54315.1143377
380,3204.4315292835236,380928,0.34452048,0.0,0.024746884,1,0.012556797,1001.0,0.024746884,-0.01497495174407959,54547.06740455
381,3212.9834146499634,381952,0.3180072,0.0,0.027017495,1,0.011182386,1001.0,0.027017495,-0.023491501808166504,54537.5666736
382,3221.311239719391,382976,0.3071667,0.0,0.02784688,1,0.01102371,1001.0,0.02784688,0.14342164993286133,54491.516791199996
383,3229.7815895080566,384000,0.33137655,0.0,0.01935229,1,0.010363674,1001.0,0.01935229,-0.004040360450744629,54145.0910743
384,3238.112980365753,385024,0.33973685,0.0,0.027138688,1,0.0109214345,1001.0,0.027138688,-0.004328727722167969,53692.125417375006
385,3247.0586128234863,386048,0.338628,0.0,0.031827286,1,0.0109988395,1001.0,0.031827286,-0.7228102684020996,53566.499781725
386,3255.6732070446014,387072,0.3393742,0.0,0.028292362,1,0.01039864,1001.0,0.028292362,0.17012238502502441,53385.25954089999
387,3263.9751737117767,388096,0.3470157,0.0,0.023437459,1,0.010957679,1001.0,0.023437459,-0.0073195695877075195,53470.378471975004
388,3272.9363145828247,389120,0.33970997,0.0,0.02490777,1,0.01237156,1001.0,0.02490777,-0.24533820152282715,53305.74983177499
389,3281.7395577430725,390144,0.29715887,0.0,0.024155619,1,0.010953749,1001.0,0.024155619,0.0031528472900390625,53016.44498962499
390,3290.241384744644,391168,0.2898241,0.0,0.02782175,1,0.012894088,1001.0,0.02782175,0.0019437074661254883,52828.400008375
391,3298.4556975364685,392192,0.29938248,0.0,0.026904333,1,0.010776704,1001.0,0.026904333,0.04794168472290039,52584.309511600004
392,3306.705071210861,393216,0.3471336,0.0,0.029154591,1,0.011590381,1001.0,0.029154591,-0.0028802156448364258,52225.205741625
393,3314.753657102585,394240,0.3281628,0.0,0.026158359,1,0.010139832,1001.0,0.026158359,-0.0006188154220581055,51903.528958725
394,3323.1006371974945,395264,0.30743262,0.0,0.02580725,1,0.010594364,1001.0,0.02580725,0.0027642250061035156,51408.2039238
395,3331.5005781650543,396288,0.29171982,0.0,0.024896525,1,0.010024429,1001.0,0.024896525,-0.00513005256652832,50992.46172495
396,3339.763552427292,397312,0.28996533,0.0,0.01958213,1,0.010525057,1001.0,0.01958213,0.00046771764755249023,50737.5480657
397,3348.595783472061,398336,0.2846362,0.0,0.041349154,1,0.012081432,1001.0,0.041349154,-0.11262238025665283,50865.149673174994
398,3357.4423265457153,399360,0.26143268,0.0,0.02141144,1,0.010511838,1001.0,0.02141144,-0.0001971721649169922,50813.273235175
399,3366.55685710907,400384,0.2517854,0.0,0.025624571,1,0.01090841,1001.0,0.025624571,0.008964478969573975,50805.517128775
401,3376.0780375003815,401408,0.24780653,0.0,0.032571346,2,0.010963491,1001.0,0.032571346,-0.009292244911193848,50194.805210675
402,3384.646553516388,402432,0.25053632,0.0,0.023143202,1,0.012727634,1001.0,0.023143202,0.010875284671783447,50099.41703617499
403,3393.174980401993,403456,0.19938338,0.0,0.022988738,1,0.010910079,1001.0,0.022988738,0.0005806684494018555,49920.934948375
404,3402.0821545124054,404480,0.20582004,0.0,0.017609583,1,0.011172675,1001.0,0.017609583,0.008489012718200684,50010.756562275
405,3411.2692024707794,405504,0.23334733,0.0,0.0236848,1,0.01135266,1001.0,0.0236848,0.005516111850738525,49812.1805521
406,3420.1264164447784,406528,0.23231748,0.0,0.023720711,1,0.010071116,1001.0,0.023720711,-0.0007883310317993164,49347.7806237
407,3428.6717064380646,407552,0.23998986,0.0,0.0150889,1,0.01062002,1001.0,0.0150889,-0.004361629486083984,49569.366492224995
408,3436.9846341609955,408576,0.22168349,0.0,0.018394616,1,0.010021249,1001.0,0.018394616,0.0010232925415039062,49745.56442905
409,3445.4943659305573,409600,0.22838788,0.0,0.027934473,1,0.010119626,1001.0,0.027934473,0.0011733770370483398,49875.109162324996
410,3454.172060251236,410624,0.22110888,0.0,0.026891941,1,0.010163279,1001.0,0.026891941,4.6133995056152344e-05,49642.311320525
411,3463.195795059204,411648,0.22539325,0.0,0.024191214,1,0.011243388,1001.0,0.024191214,0.0033634305000305176,49824.047359325
412,3472.3244783878326,412672,0.21669444,0.0,0.023333834,1,0.011703533,1001.0,0.023333834,0.006894528865814209,49881.552620924995
413,3481.2690885066986,413696,0.20176564,0.0,0.024930866,1,0.010380814,1001.0,0.024930866,-0.0005527734756469727,50061.146111325
414,3489.69202375412,414720,0.19348204,0.0,0.023440026,1,0.013228167,1001.0,0.023440026,0.0034865140914916992,50264.5854331
415,3498.3588631153107,415744,0.17368193,0.0,0.019311786,1,0.011074342,1001.0,0.019311786,-0.0006827116012573242,50254.695970999994
416,3506.836365222931,416768,0.18733357,0.0,0.03063345,1,0.011671642,1001.0,0.03063345,-8.058547973632812e-05,50170.3940521
417,3515.531274318695,417792,0.18696463,0.0,0.020709999,1,0.010523027,1001.0,0.020709999,0.0031781792640686035,50244.87798885
418,3523.837631702423,418816,0.17655356,0.0,0.024157904,1,0.0108161215,1001.0,0.024157904,0.02436274290084839,50515.467246449996
419,3532.382287502289,419840,0.17130297,0.0,0.023459556,1,0.011610878,1001.0,0.023459556,0.006087005138397217,50662.353379399996
420,3540.763339281082,420864,0.1753306,0.0,0.022702184,1,0.010028921,1001.0,0.022702184,-0.027161121368408203,50715.63177772499
421,3549.084352493286,421888,0.17518045,0.0,0.023798244,1,0.010601472,1001.0,0.023798244,0.020747005939483643,50689.07149515
422,3557.4722990989685,422912,0.17502211,0.0,0.025445566,1,0.010388782,1001.0,0.025445566,-0.018204092979431152,50845.71863355
423,3565.619422674179,423936,0.15503313,0.0,0.016933197,1,0.010863513,1001.0,0.016933197,0.00012606382369995117,51233.3991539
424,3573.951852083206,424960,0.14744647,0.0,0.025488904,1,0.010859307,1001.0,0.025488904,-0.0017845630645751953,51705.7119262
425,3582.36919093132,425984,0.1536934,0.0,0.02954042,1,0.010611547,1001.0,0.02954042,0.026524245738983154,51996.72359335
426,3590.602762699127,427008,0.16387248,0.0,0.028433282,1,0.012107285,1001.0,0.028433282,-0.009626984596252441,52231.70601715
427,3599.195451259613,428032,0.1591027,0.0,0.029191412,1,0.010339675,1001.0,0.029191412,0.047183215618133545,52498.595776575
428,3607.543312072754,429056,0.15432663,0.0,0.028467968,1,0.010750105,1001.0,0.028467968,-0.09269356727600098,52844.953383775
429,3615.979716062546,430080,0.15414351,0.0,0.031736083,1,0.012600027,1001.0,0.031736083,0.04971933364868164,53189.99606032501
430,3624.3263318538666,431104,0.15977286,0.0,0.03292124,1,0.0117004365,1001.0,0.03292124,-0.019803404808044434,53376.719283625
431,3632.61945104599,432128,0.1416518,0.0,0.023138568,1,0.011199962,1001.0,0.023138568,-0.0037453174591064453,53629.723709525
432,3640.7497296333313,433152,0.12627405,0.0,0.0235425,1,0.01114451,1001.0,0.0235425,-0.0020521879196166992,54013.241966725
433,3648.885964870453,434176,0.09271995,0.0,0.019375484,1,0.010670887,1001.0,0.019375484,-0.0008324384689331055,54425.79375317501
434,3657.276797056198,435200,0.08794299,0.0,0.029201932,1,0.013702493,1001.0,0.029201932,0.034845590591430664,54862.6758379
435,3665.4878492355347,436224,0.0849838,0.0,0.039200407,1,0.013335967,1001.0,0.039200407,-0.11862266063690186,55215.390508774995
436,3673.987666130066,437248,0.08971121,0.0,0.025630273,1,0.0100089945,1001.0,0.025630273,0.008157014846801758,55625.943487075
437,3682.596140384674,438272,0.06126833,0.0,0.027528435,1,0.012754554,1001.0,0.027528435,0.0028290152549743652,55639.113918
438,3691.1543502807617,439296,0.051524162,0.0,0.03328217,1,0.011221446,1001.0,0.03328217,0.000424802303314209,55703.116635000006
439,3699.380550146103,440320,0.028949022,0.0,0.024905305,1,0.009824246,1001.0,0.024905305,-0.0017343759536743164,56219.29699542499
440,3707.6394302845,441344,0.04105425,0.0,0.030276066,1,0.010678144,1001.0,0.030276066,0.004713237285614014,56630.07253079999
441,3715.898053884506,442368,-0.005586624,0.0,0.02800592,1,0.011314217,1001.0,0.02800592,0.0004993677139282227,57597.11042725
442,3724.5061275959015,443392,-0.043097496,0.0,0.029612705,1,0.011499297,1001.0,0.029612705,0.002368152141571045,58193.84336925
443,3732.9813754558563,444416,-0.058501277,0.0,0.03549512,1,0.009676684,1001.0,0.03549512,-0.13656222820281982,58880.32425789999
444,3741.6608407497406,445440,-0.061111324,0.0,0.030158786,1,0.0037731442,1001.0,0.030158786,0.059396445751190186,59036.58279037499
446,3751.587038755417,446464,-0.059907947,0.0,0.032465182,2,0.014087532,1001.0,0.032465182,-0.004254817962646484,59882.22928279999
447,3760.5240802764893,447488,-0.035539836,0.0,0.022132613,1,0.010979696,1001.0,0.022132613,-0.011469602584838867,60069.98386697499
448,3768.744355201721,448512,-0.022353258,0.0,0.02085694,1,0.009363683,1001.0,0.02085694,-0.0060155391693115234,59350.06403254999
