serial_timesteps,n_updates,fps,explained_variance,policy_loss,total_timesteps,policy_entropy,time_elapsed,clipfrac,value_loss,approxkl,ep_reward_mean,ep_len_mean
24288,759,231,-0.4342474937438965,-0.011048013,97152,10.025512,571.5794050693512,0.013671875,0.008824175,0.0020123594,2910.2678029299987,500.0
24320,760,235,-0.4633885622024536,-0.002648921,97280,10.026671,572.1334807872772,0.0,0.001928427,0.0014894728,2910.2678029299987,500.0
24352,761,240,0.6291660368442535,-0.0034033787,97408,10.026744,572.6768841743469,0.00390625,0.02034305,0.00092033425,2910.2678029299987,500.0
24384,762,228,0.8735564649105072,-0.0010463826,97536,10.027252,573.2107436656952,0.0,0.0073134443,0.0005294674,2910.2678029299987,500.0
24416,763,238,0.43169838190078735,-0.008714022,97664,10.028885,573.770917892456,0.0078125,0.0191413,0.0015417339,2910.2678029299987,500.0
24448,764,220,0.8776440918445587,-0.00397209,97792,10.030648,574.3119258880615,0.001953125,0.0073241466,0.00072692276,2910.2678029299987,500.0
24480,765,236,-1.489032506942749,-0.001533418,97920,10.030568,574.892637014389,0.0,0.005249919,0.0005454592,2910.2678029299987,500.0
24512,766,31,-0.4441438913345337,-0.0108385235,98048,10.029065,575.4334318637848,0.0078125,0.49151266,0.0017374337,2888.5714654199996,500.0
24544,767,248,0.7902919799089432,0.00080894266,98176,10.0269785,579.5601274967194,0.0,0.019376172,0.00038420706,2888.5714654199996,500.0
24576,768,240,-0.5916585922241211,-0.0070785824,98304,10.027205,580.0767376422882,0.001953125,0.004094285,0.0011365013,2888.5714654199996,500.0
24608,769,222,-1.2615981101989746,-0.008135464,98432,10.029159,580.6101756095886,0.009765625,0.0006546114,0.0014702271,2888.5714654199996,500.0
24640,770,213,0.13611823320388794,-0.007608279,98560,10.02894,581.1873416900635,0.009765625,0.0018716957,0.0016251799,2888.5714654199996,500.0
24672,771,234,-0.17534708976745605,-0.0014673086,98688,10.027914,581.7891318798065,0.0,0.010030723,0.0009277104,2888.5714654199996,500.0
24704,772,227,-0.11394643783569336,-0.0027570243,98816,10.02764,582.3352220058441,0.0,0.0032896244,0.0005739593,2888.5714654199996,500.0
24736,773,235,-0.4142674207687378,-0.009896513,98944,10.027069,582.8996014595032,0.0078125,0.0010989011,0.0015193876,2888.5714654199996,500.0
24768,774,243,-0.14722192287445068,-0.004200024,99072,10.027421,583.4445436000824,0.00390625,0.00028998416,0.0013052556,2888.5714654199996,500.0
24800,775,247,0.657048910856247,-0.005331942,99200,10.027476,583.971880197525,0.0,0.00809297,0.0004369964,2888.5714654199996,500.0
24832,776,231,0.2669619917869568,-0.0049883574,99328,10.02827,584.4897680282593,0.005859375,0.0034674844,0.0013768657,2888.5714654199996,500.0
24864,777,247,-0.9209154844284058,-0.006132483,99456,10.028191,585.0442142486572,0.0,0.003810328,0.00086277165,2888.5714654199996,500.0
24896,778,237,0.19368064403533936,-0.013259528,99584,10.028602,585.5630600452423,0.01171875,0.0009218528,0.0017113846,2888.5714654199996,500.0
24928,779,233,-1.0711262226104736,-0.018571466,99712,10.030933,586.1032476425171,0.0390625,0.0025845014,0.0033945814,2888.5714654199996,500.0
24960,780,230,-0.9975643157958984,0.0003517645,99840,10.032883,586.6520476341248,0.0,0.0011827206,0.00036301272,2888.5714654199996,500.0
24992,781,230,0.1714397668838501,-0.0114621,99968,10.034337,587.2103674411774,0.009765625,0.0019933851,0.0018237063,2888.5714654199996,500.0
25024,782,33,-0.299984335899353,-0.0043518622,100096,10.035911,587.7660164833069,0.0,0.43467468,0.0012135657,2893.05949905,500.0
25056,783,243,0.5826094448566437,-0.0045676967,100224,10.035961,591.5894546508789,0.0,0.011995171,0.0006278801,2893.05949905,500.0
25088,784,237,0.9251267686486244,-0.005887197,100352,10.035445,592.1150472164154,0.0078125,0.0033683192,0.0013200123,2893.05949905,500.0
25120,785,219,-1.1909420490264893,-0.007257361,100480,10.0362015,592.6540133953094,0.005859375,0.002446295,0.0010666501,2893.05949905,500.0
25152,786,234,0.22009921073913574,-0.002746854,100608,10.039702,593.2375295162201,0.0,0.0027085787,0.00065243716,2893.05949905,500.0
25184,787,236,-0.5567142963409424,-0.008904407,100736,10.043075,593.7852261066437,0.001953125,0.0024741893,0.001035843,2893.05949905,500.0
25216,788,231,-0.417915940284729,-0.008900727,100864,10.042702,594.3274590969086,0.005859375,0.0011230273,0.001371765,2893.05949905,500.0
25248,789,235,0.07701057195663452,-0.0034284468,100992,10.042399,594.8814435005188,0.005859375,0.0035177402,0.001355683,2893.05949905,500.0
25280,790,230,-0.04256629943847656,-0.0047132024,101120,10.041384,595.4251053333282,0.0,0.0039668614,0.00086674665,2893.05949905,500.0
25312,791,222,-0.2782508134841919,-0.0053540766,101248,10.039848,595.9814162254333,0.001953125,0.0021143153,0.001059358,2893.05949905,500.0
25344,792,240,0.13194525241851807,-0.007262162,101376,10.039288,596.5573048591614,0.00390625,0.00301174,0.0010151147,2893.05949905,500.0
25376,793,242,-0.13024985790252686,-0.013314455,101504,10.040898,597.0894281864166,0.037109375,0.0018613173,0.0032544094,2893.05949905,500.0
25408,794,241,0.7373740077018738,-0.0014981203,101632,10.042848,597.6196007728577,0.0,0.016065553,0.00047341723,2893.05949905,500.0
25440,795,225,0.8801066353917122,-0.005565322,101760,10.044932,598.151287317276,0.0,0.008000431,0.00068188016,2893.05949905,500.0
25472,796,223,0.8936396762728691,-0.0011597181,101888,10.045789,598.7192397117615,0.0,0.006230031,0.00067403703,2893.05949905,500.0
25504,797,31,0.011492609977722168,-0.0063100294,102016,10.047864,599.2936100959778,0.001953125,0.4901066,0.00068061426,2898.28884776,500.0
25536,798,243,0.13419055938720703,-0.008046519,102144,10.051086,603.3338465690613,0.0078125,0.023561846,0.0013272995,2898.28884776,500.0
25568,799,239,0.8988945484161377,-0.0039483598,102272,10.053032,603.8607542514801,0.0,0.008365488,0.0008879765,2898.28884776,500.0
25600,800,224,0.8697356432676315,-0.010990013,102400,10.055431,604.3948700428009,0.015625,0.0069869226,0.0020366565,2898.28884776,500.0
25632,801,216,-2.0524778366088867,-0.0074845836,102528,10.057458,604.9662892818451,0.015625,0.0028570346,0.0019863967,2898.28884776,500.0
25664,802,227,-0.22012639045715332,-0.0022809186,102656,10.058354,605.5584878921509,0.0,0.0033927348,0.00057667936,2898.28884776,500.0
25696,803,234,-0.5746057033538818,-0.002467382,102784,10.059719,606.1208522319794,0.0,0.0010457868,0.00048808852,2898.28884776,500.0
25728,804,242,-0.24185872077941895,-0.005749022,102912,10.060128,606.6678013801575,0.001953125,0.0024713143,0.0009876406,2898.28884776,500.0
25760,805,235,-0.8030232191085815,-0.008172515,103040,10.059313,607.1987035274506,0.005859375,0.0022526474,0.0013932512,2898.28884776,500.0
25792,806,241,0.28420156240463257,-0.0015414248,103168,10.059952,607.7438359260559,0.0,0.016565973,0.00044642846,2898.28884776,500.0
25824,807,243,0.9464651979506016,-0.00831402,103296,10.060106,608.2738382816315,0.001953125,0.0026128313,0.0011572635,2898.28884776,500.0
25856,808,248,-2.0222012996673584,-0.009007536,103424,10.061757,608.8000032901764,0.01953125,0.0010616466,0.0022445444,2898.28884776,500.0
25888,809,258,-0.9627774953842163,-0.006165172,103552,10.061437,609.3166468143463,0.001953125,0.0023208163,0.0011835832,2898.28884776,500.0
25920,810,241,-0.2828327417373657,-0.006156465,103680,10.06133,609.8129937648773,0.00390625,0.0002971566,0.00130947,2898.28884776,500.0
25952,811,233,0.040442705154418945,-0.009837994,103808,10.063559,610.3430635929108,0.013671875,0.0025906167,0.0020667391,2898.28884776,500.0
25984,812,224,-0.4619101285934448,-0.006966585,103936,10.0650215,610.8911170959473,0.0078125,0.0040712473,0.0015096661,2898.28884776,500.0
26016,813,33,-0.6715381145477295,-0.0025636798,104064,10.065477,611.4607155323029,0.0,0.4985079,0.00034737238,2880.607791269999,500.0
26048,814,231,0.8413122743368149,-0.005866282,104192,10.065431,615.2807660102844,0.00390625,0.012442316,0.000951536,2880.607791269999,500.0
26080,815,227,0.47421061992645264,-0.005952483,104320,10.0661335,615.8348379135132,0.001953125,0.02710581,0.0009992839,2880.607791269999,500.0
26112,816,213,0.9402405880391598,-0.01321116,104448,10.067575,616.3980484008789,0.013671875,0.0026654485,0.0018917851,2880.607791269999,500.0
26144,817,224,-0.5836548805236816,0.0007956291,104576,10.069442,616.9979677200317,0.0,0.0035126796,0.00021675104,2880.607791269999,500.0
26176,818,234,0.0002821683883666992,-0.0010139025,104704,10.071996,617.570591211319,0.0,0.001319461,0.00036918724,2880.607791269999,500.0
26208,819,235,0.19434386491775513,-0.0034397715,104832,10.072905,618.1184575557709,0.001953125,0.00037029485,0.0010208176,2880.607791269999,500.0
26240,820,237,-0.941938042640686,-0.00508739,104960,10.0721855,618.6622414588928,0.001953125,0.001971835,0.00087299384,2880.607791269999,500.0
26272,821,233,-0.38665759563446045,-0.006405673,105088,10.071626,619.2027025222778,0.0,0.0013547381,0.0011357357,2880.607791269999,500.0
26304,822,230,-0.017853260040283203,-0.004308522,105216,10.07269,619.7522389888763,0.001953125,0.0012242272,0.0009767669,2880.607791269999,500.0
26336,823,239,-0.24689459800720215,-0.002402381,105344,10.075442,620.3081035614014,0.001953125,0.0036679374,0.00081168127,2880.607791269999,500.0
26368,824,233,0.36605143547058105,-0.010787542,105472,10.077969,620.8443524837494,0.00390625,0.007978489,0.0012505552,2880.607791269999,500.0
26400,825,237,-0.7574148178100586,-0.0027533704,105600,10.079277,621.3927917480469,0.0,0.0018684603,0.0008546157,2880.607791269999,500.0
26432,826,248,-0.2405623197555542,-0.014433244,105728,10.081844,621.93332695961,0.02734375,0.002635179,0.0025531675,2880.607791269999,500.0
26464,827,248,0.6906650364398956,-0.0018672931,105856,10.083883,622.4494242668152,0.0,0.014368006,0.0006330537,2880.607791269999,500.0
26496,828,233,0.7734209150075912,-0.004695644,105984,10.085396,622.9658100605011,0.0,0.004032708,0.00068510824,2880.607791269999,500.0
26528,829,32,-0.3220707178115845,-0.0026118506,106112,10.087233,623.5156309604645,0.0,0.26094398,0.00060531765,2876.9926020599996,500.0
26560,830,217,0.7308965623378754,-0.011405421,106240,10.086822,627.4014253616333,0.015625,0.01633491,0.0021418973,2876.9926020599996,500.0
26592,831,233,0.2124156951904297,-0.011906287,106368,10.087666,627.9913651943207,0.0078125,0.016469376,0.0017719367,2876.9926020599996,500.0
26624,832,235,-0.15244591236114502,-0.0010034757,106496,10.09192,628.5412647724152,0.0,0.0007990695,0.00041809052,2876.9926020599996,500.0
26656,833,236,-0.03644108772277832,-0.010744205,106624,10.09441,629.0855002403259,0.00390625,0.0015036361,0.0016286387,2876.9926020599996,500.0
26688,834,243,0.0013107061386108398,-0.002846065,106752,10.096215,629.6263611316681,0.0,0.0019025424,0.0008484343,2876.9926020599996,500.0
26720,835,235,0.47005581855773926,-0.0021643674,106880,10.096271,630.153204202652,0.0,0.001713392,0.0005795513,2876.9926020599996,500.0
26752,836,226,-0.6728112697601318,-0.0054040533,107008,10.0955925,630.6985924243927,0.001953125,0.0026666452,0.0008368176,2876.9926020599996,500.0
26784,837,234,0.7420115172863007,-0.0047263503,107136,10.096224,631.2654452323914,0.001953125,0.014536986,0.0012462188,2876.9926020599996,500.0
