total_timesteps,policy_entropy,value_loss,explained_variance,fps,nupdates,ep_len_mean,ep_reward_mean
399000,8.431609153747559,133984.0625,-27.905824661254883,291,11400,1000.0,14698.19253234
402500,8.423924446105957,764.7765502929688,1.3053417205810547e-05,292,11500,1000.0,14698.19253234
406000,8.386184692382812,179890.609375,0.009104013442993164,291,11600,1000.0,14817.212374480001
409500,8.349562644958496,674.2800903320312,0.00912320613861084,292,11700,1000.0,14817.212374480001
413000,8.309239387512207,174415.921875,-1.5139579772949219e-05,292,11800,1000.0,14995.275594810002
416500,8.260371208190918,1200.9560546875,2.6702880859375e-05,292,11900,1000.0,14995.275594810002
420000,8.228239059448242,187783.078125,2.6702880859375e-05,292,12000,1000.0,15089.35103531
423500,8.213323593139648,1366.8193359375,-1.919269561767578e-05,292,12100,1000.0,15089.35103531
427000,8.226438522338867,196963.21875,1.6987323760986328e-05,292,12200,1000.0,14918.17854424
430500,8.242895126342773,1627.6044921875,-1.71661376953125e-05,292,12300,1000.0,14918.17854424
434000,8.238672256469727,192519.09375,-2.384185791015625e-06,292,12400,1000.0,14757.042204460002
437500,8.187774658203125,1431.953369140625,-1.5974044799804688e-05,292,12500,1000.0,14757.042204460002
441000,8.150150299072266,198514.28125,7.927417755126953e-06,292,12600,1000.0,14393.239747990003
444500,8.12469482421875,1118.683349609375,-1.1563301086425781e-05,292,12700,1000.0,14393.239747990003
448000,8.129135131835938,206440.140625,-1.6808509826660156e-05,292,12800,1000.0,13957.17655089
451500,8.142095565795898,1341.4759521484375,5.793571472167969e-05,292,12900,1000.0,13957.17655089
455000,8.115623474121094,224351.890625,-3.349781036376953e-05,291,13000,1000.0,13752.91975773
458500,8.080930709838867,732.3865356445312,2.5033950805664062e-06,292,13100,1000.0,13752.91975773
462000,8.055048942565918,231521.390625,1.6510486602783203e-05,291,13200,1000.0,13234.854144910001
465500,8.060370445251465,744.5631103515625,2.1159648895263672e-05,292,13300,1000.0,13234.854144910001
469000,8.070516586303711,235622.0,-1.1920928955078125e-07,291,13400,1000.0,12663.705958449997
472500,8.071786880493164,307.00567626953125,-3.528594970703125e-05,292,13500,1000.0,12663.705958449997
476000,8.079041481018066,258116.65625,9.834766387939453e-06,291,13600,1000.0,12785.83700678
479500,8.077225685119629,1052.0977783203125,0.0,292,13700,1000.0,12785.83700678
483000,8.074485778808594,254880.140625,-1.3709068298339844e-05,291,13800,1000.0,13048.376669599998
486500,8.085670471191406,403.6564025878906,3.8623809814453125e-05,292,13900,1000.0,13048.376669599998
490000,8.073261260986328,265586.15625,1.3709068298339844e-06,291,14000,1000.0,13148.287436650002
493500,8.036513328552246,969.6156005859375,-2.3245811462402344e-05,292,14100,1000.0,13148.287436650002
497000,8.001482009887695,288053.59375,-7.510185241699219e-06,291,14200,1000.0,13430.6617963
500500,7.997808933258057,1189.04248046875,2.276897430419922e-05,292,14300,1000.0,13430.6617963
504000,8.010130882263184,275960.6875,-7.033348083496094e-06,291,14400,1000.0,13667.861870870001
507500,7.999713897705078,1222.3795166015625,1.5854835510253906e-05,292,14500,1000.0,13667.861870870001
511000,7.962486743927002,287790.84375,1.1980533599853516e-05,292,14600,1000.0,13820.134277719999
514500,7.946257591247559,1070.211669921875,-4.76837158203125e-07,292,14700,1000.0,13820.134277719999
518000,7.929569721221924,299783.21875,7.3909759521484375e-06,292,14800,1000.0,13943.97219667
521500,7.923952579498291,509.5067443847656,-1.0728836059570312e-06,292,14900,1000.0,13943.97219667
525000,7.906590938568115,307459.34375,-1.728534698486328e-05,292,15000,1000.0,14079.123402339997
528500,7.8802361488342285,1268.477294921875,-2.7418136596679688e-06,292,15100,1000.0,14079.123402339997
532000,7.864136695861816,314324.46875,-6.67572021484375e-06,292,15200,1000.0,14111.37136793
535500,7.840365886688232,748.6373901367188,-6.198883056640625e-06,292,15300,1000.0,14111.37136793
539000,7.835178852081299,326481.1875,7.152557373046875e-07,292,15400,1000.0,14190.71802684
542500,7.843855381011963,817.1356811523438,1.430511474609375e-06,292,15500,1000.0,14190.71802684
546000,7.827584266662598,340599.21875,8.344650268554688e-06,292,15600,1000.0,14223.269579689999
549500,7.8333635330200195,709.8045654296875,-3.6954879760742188e-06,293,15700,1000.0,14223.269579689999
553000,7.818116188049316,339530.8125,-9.5367431640625e-07,292,15800,1000.0,14230.206877960001
556500,7.8123602867126465,150.71864318847656,1.6689300537109375e-06,293,15900,1000.0,14230.206877960001
560000,7.809671401977539,350296.125,2.205371856689453e-06,292,16000,1000.0,14353.93952518
563500,7.811358451843262,851.7509155273438,1.430511474609375e-06,293,16100,1000.0,14353.93952518
567000,7.786487579345703,364844.125,6.854534149169922e-06,292,16200,1000.0,14512.202108870002
570500,7.768462181091309,246.79159545898438,8.702278137207031e-06,293,16300,1000.0,14512.202108870002
574000,7.732992172241211,369306.8125,-1.0728836059570312e-06,292,16400,1000.0,14559.594671029998
577500,7.721685886383057,301.1924133300781,-2.86102294921875e-06,293,16500,1000.0,14559.594671029998
581000,7.7237725257873535,380985.59375,-6.079673767089844e-06,293,16600,1000.0,14599.849335259998
584500,7.707765579223633,730.4094848632812,3.7550926208496094e-06,293,16700,1000.0,14599.849335259998
588000,7.693268775939941,397977.1875,2.9802322387695312e-06,292,16800,1000.0,14656.66329768
591500,7.661433696746826,1053.5745849609375,-9.655952453613281e-06,293,16900,1000.0,14656.66329768
595000,7.620700359344482,400814.0,1.3947486877441406e-05,292,17000,1000.0,14664.57278639
598500,7.616657257080078,112.6209716796875,7.772445678710938e-05,293,17100,1000.0,14664.57278639
602000,7.596846103668213,405497.21875,-2.384185791015625e-07,292,17200,1000.0,14919.65271034
605500,7.5721540451049805,6109.83642578125,-7.152557373046875e-06,293,17300,1000.0,14919.65271034
609000,7.578804016113281,374154.53125,-1.7881393432617188e-06,292,17400,1000.0,16056.66198852
612500,7.577531337738037,38475.04296875,-2.384185791015625e-07,293,17500,1000.0,16056.66198852
616000,7.587325572967529,386249.9375,-4.410743713378906e-06,293,17600,1000.0,17008.5402321
619500,7.576523303985596,62058.35546875,9.5367431640625e-07,293,17700,1000.0,17008.5402321
623000,7.568992614746094,352019.15625,7.152557373046875e-07,293,17800,1000.0,18613.117739659996
626500,7.515709400177002,82298.7109375,1.7881393432617188e-06,293,17900,1000.0,18613.117739659996
630000,7.4983015060424805,433745.71875,-8.106231689453125e-06,293,18000,1000.0,20784.27772
633500,7.471215724945068,27168.341796875,-3.5762786865234375e-07,293,18100,1000.0,20784.27772
637000,7.506819248199463,440667.03125,3.874301910400391e-06,293,18200,1000.0,22697.679065590004
640500,7.514754772186279,36581.8046875,1.430511474609375e-06,293,18300,1000.0,22697.679065590004
644000,7.506707668304443,274688.21875,-2.5033950805664062e-06,293,18400,1000.0,24452.336418030005
647500,7.475843906402588,902.8141479492188,-1.0967254638671875e-05,293,18500,1000.0,24452.336418030005
651000,7.488297939300537,477009.90625,-1.3113021850585938e-06,293,18600,1000.0,25076.718779550003
654500,7.468178749084473,486.99755859375,3.2782554626464844e-06,293,18700,1000.0,25076.718779550003
658000,7.428687572479248,505735.3125,-6.318092346191406e-06,293,18800,1000.0,25030.337456830006
661500,7.400123119354248,371.1168212890625,5.900859832763672e-06,293,18900,1000.0,25030.337456830006
665000,7.376529216766357,529974.9375,-2.384185791015625e-07,293,19000,1000.0,25011.633960509993
668500,7.3743791580200195,793.1392211914062,-2.002716064453125e-05,293,19100,1000.0,25011.633960509993
672000,7.3821234703063965,531104.9375,-4.0531158447265625e-06,293,19200,1000.0,25025.57511432
675500,7.3808698654174805,571.4768676757812,3.081560134887695e-05,293,19300,1000.0,25025.57511432
679000,7.389861106872559,560113.0625,9.357929229736328e-06,293,19400,1000.0,25008.078733059996
682500,7.394526958465576,676.2918701171875,-1.2993812561035156e-05,293,19500,1000.0,25008.078733059996
686000,7.409574508666992,547331.3125,1.6808509826660156e-05,293,19600,1000.0,24851.650815030007
689500,7.390775203704834,30861.7421875,-2.7418136596679688e-06,293,19700,1000.0,24851.650815030007
