fps,nupdates,value_loss,policy_loss,total_timesteps,policy_entropy,explained_variance,ep_len_mean,ep_reward_mean
284,10800,25512.09375,0.07378403097391129,1522659,10.422323226928711,-1.1920928955078125e-07,1000.0,8108.19919349
284,10900,26044.12890625,-0.35741302371025085,1536759,10.422327995300293,1.1920928955078125e-07,1000.0,8110.618934330001
284,11000,26743.6171875,-0.02340572327375412,1550859,10.426431655883789,0.0,1000.0,8114.4176672700005
284,11100,27413.015625,-0.20232129096984863,1564959,10.426671028137207,-2.384185791015625e-07,1000.0,8114.889104469999
284,11200,27911.126953125,0.03249077498912811,1579059,10.434372901916504,0.0,1000.0,8115.973929569999
284,11300,28592.49609375,-0.009506791830062866,1593159,10.44188117980957,1.1920928955078125e-07,1000.0,8117.377661280001
284,11400,29890.15234375,0.12459864467382431,1607259,10.449310302734375,-2.384185791015625e-07,1000.0,8120.38075558
284,11500,29936.712890625,-0.2483081817626953,1621359,10.44697380065918,-2.384185791015625e-07,1000.0,8121.250332190001
285,11600,30505.28515625,-0.15217004716396332,1635459,10.454218864440918,0.0,1000.0,8123.10876196
285,11700,31709.892578125,-0.07984906435012817,1649559,10.458470344543457,-2.384185791015625e-07,1000.0,8120.526631449999
285,11800,32166.41015625,-0.10885190218687057,1663659,10.463102340698242,-1.1920928955078125e-07,1000.0,8120.359678920001
285,11900,32853.1328125,-0.42279934883117676,1677759,10.462053298950195,0.0,1000.0,8127.46807585
285,12000,33818.26953125,0.06547027081251144,1691859,10.464277267456055,1.1920928955078125e-07,1000.0,8127.900819620001
285,12100,34357.06640625,-0.24591049551963806,1705959,10.473891258239746,5.960464477539063e-08,1000.0,8128.583226759998
285,12200,35300.6875,-0.059095654636621475,1720059,10.481125831604004,-2.384185791015625e-07,1000.0,8131.50618474
285,12300,35904.26953125,-0.08401894569396973,1734159,10.482823371887207,0.0,1000.0,8129.012859859998
285,12400,36667.96484375,-0.20199762284755707,1748259,10.485499382019043,-1.1920928955078125e-07,1000.0,8134.707528359998
285,12500,37438.76953125,-0.02863120287656784,1762359,10.488771438598633,-1.1920928955078125e-07,1000.0,8139.938665979999
285,12600,38813.02734375,0.18595021963119507,1776459,10.489212989807129,1.1920928955078125e-07,1000.0,8137.724168559999
285,12700,39853.7578125,-0.18105396628379822,1790559,10.492588996887207,0.0,1000.0,8137.01296583
285,12800,41627.8125,0.08962489664554596,1804659,10.497370719909668,-1.1920928955078125e-07,1000.0,8133.408534189999
285,12900,43777.43359375,0.044125184416770935,1818759,10.502523422241211,0.0,1000.0,8132.461584229999
285,13000,44808.296875,-0.21942657232284546,1832859,10.509054183959961,1.1920928955078125e-07,1000.0,8135.208569330001
285,13100,45428.01953125,-0.21033908426761627,1846959,10.515151023864746,-4.76837158203125e-07,1000.0,8133.209970480001
285,13200,47383.515625,-0.17820310592651367,1861059,10.517197608947754,0.0,1000.0,8133.535975120001
285,13300,48571.5078125,0.14929050207138062,1875159,10.521794319152832,0.0,1000.0,8130.53283021
285,13400,49294.7578125,-0.2358548939228058,1889259,10.525404930114746,0.0,1000.0,8134.862101000001
286,13500,50373.82421875,-0.14773525297641754,1903359,10.534287452697754,3.5762786865234375e-07,1000.0,8143.355509449999
286,13600,53102.14453125,0.05441248416900635,1917459,10.537031173706055,2.384185791015625e-07,1000.0,8144.959279240001
286,13700,54284.1953125,-0.127980574965477,1931559,10.541489601135254,0.0,1000.0,8146.356232540001
286,13800,55574.296875,0.04832061380147934,1945659,10.547866821289062,0.0,1000.0,8150.9904305
286,13900,56383.60546875,0.10668691247701645,1959759,10.554475784301758,0.0,1000.0,8155.07261184
286,14000,57231.1953125,0.015324287116527557,1973859,10.55945873260498,0.0,1000.0,8156.426101889999
286,14100,58316.05859375,-0.20013968646526337,1987959,10.566716194152832,-2.384185791015625e-07,1000.0,8161.64476226
286,14200,59214.91015625,-0.34781017899513245,2002059,10.576399803161621,0.0,1000.0,8162.810924109999
