nupdates,value_loss,explained_variance,policy_loss,total_timesteps,fps,policy_entropy,ep_reward_mean,ep_len_mean
17000,235.14108276367188,-7.855892181396484e-05,0.11337856203317642,560967,200,4.1172380447387695,12103.509130469998,1000.0
17100,0.028697801753878593,-0.00035262107849121094,-0.18242603540420532,564267,200,4.095170497894287,12289.18001073,1000.0
17200,0.0338800810277462,0.002344369888305664,-0.13511334359645844,567567,200,4.076907634735107,12480.311270670001,1000.0
17300,0.10841302573680878,0.002647221088409424,0.34488436579704285,570867,200,4.059351444244385,12658.506045370003,1000.0
17400,0.25503987073898315,0.00027114152908325195,0.23779156804084778,574167,200,4.039074897766113,12853.56884021,1000.0
17500,231.24981689453125,0.00033354759216308594,0.12667451798915863,577467,200,4.004114151000977,13050.170118959997,1000.0
17600,0.03345254063606262,0.0014010071754455566,-0.35021480917930603,580767,200,3.984572172164917,13174.910291060001,1000.0
17700,0.012166561558842659,-0.004134654998779297,-0.5164470672607422,584067,200,3.9494409561157227,13324.783463840002,1000.0
17800,0.08024843782186508,-0.001217961311340332,0.10521643608808517,587367,200,3.9214560985565186,13498.27715906,1000.0
17900,0.020389456301927567,0.005575656890869141,-0.699631929397583,590667,200,3.891418218612671,13702.859331749998,1000.0
18000,243.95547485351562,0.00011855363845825195,0.40788814425468445,593967,200,3.8676817417144775,13937.941567240001,1000.0
18100,0.2948874831199646,0.0036869049072265625,-0.439109206199646,597267,200,3.8392977714538574,14120.823096099999,1000.0
18200,0.002969801425933838,0.0012021660804748535,-0.30818161368370056,600567,200,3.8099780082702637,14313.567172079998,1000.0
18300,0.22444379329681396,-0.002038717269897461,-0.12840506434440613,603867,200,3.788504123687744,14525.562310110003,1000.0
18400,0.49586522579193115,3.814697265625e-06,0.16068236529827118,607167,200,3.757580041885376,14724.278553479999,1000.0
18500,242.1374053955078,-0.00368344783782959,-0.3295552730560303,610467,200,3.73526668548584,14996.565145109997,1000.0
18600,0.1506066471338272,-0.002347111701965332,0.2706211805343628,613767,200,3.7110869884490967,15173.31787778,1000.0
18700,0.27175650000572205,-0.00099945068359375,-0.2107969969511032,617067,200,3.686877965927124,15369.3836402,1000.0
18800,0.013238411396741867,0.00973665714263916,-0.1412077397108078,620367,200,3.677522659301758,15552.519989229999,1000.0
18900,0.1687909960746765,-0.0009695291519165039,-0.24579393863677979,623667,200,3.6601035594940186,15750.18746505,1000.0
19000,244.20751953125,0.002237379550933838,-0.14690981805324554,626967,200,3.6396074295043945,16041.759525000001,1000.0
19100,0.022403748705983162,-0.008137822151184082,0.17330381274223328,630267,200,3.62125301361084,16257.652097110002,1000.0
19200,0.00047895449097268283,0.005635678768157959,-0.3526018559932709,633567,201,3.5976080894470215,16467.88261118,1000.0
19300,0.062222134321928024,0.0008421540260314941,-0.2697327136993408,636867,201,3.5798346996307373,16653.67891093,1000.0
19400,0.02812168374657631,-0.006748676300048828,-0.006539530586451292,640167,201,3.5748255252838135,16842.505842360002,1000.0
19500,229.48321533203125,0.00127410888671875,-0.06802426278591156,643467,201,3.5631346702575684,17118.41049759,1000.0
19600,0.13411493599414825,0.001224517822265625,-0.21548870205879211,646767,201,3.5546860694885254,17310.12932972,1000.0
19700,0.22318331897258759,0.0045059919357299805,-0.4522314965724945,650067,201,3.5427632331848145,17500.047722389998,1000.0
19800,0.005976326763629913,0.002375185489654541,-0.5794888138771057,653367,201,3.529538154602051,17656.056465839996,1000.0
19900,0.2288861721754074,-0.004594922065734863,-0.04066873714327812,656667,201,3.507568120956421,17778.51464775,1000.0
20000,236.23678588867188,0.0011554956436157227,-0.27974390983581543,659967,201,3.4869890213012695,17989.07020101,1000.0
20100,0.036039937287569046,0.007287383079528809,0.3265376389026642,663267,201,3.474574565887451,18193.05282134,1000.0
20200,0.009835781529545784,0.014895260334014893,-0.5630033612251282,666567,201,3.4626660346984863,18395.046638030002,1000.0
20300,0.164314866065979,0.0013831257820129395,-0.5324831008911133,669867,201,3.4417340755462646,18565.449184909998,1000.0
20400,0.0684889480471611,-0.001524806022644043,0.21852660179138184,673167,201,3.42928147315979,18827.883981439998,1000.0
20500,235.33718872070312,6.705522537231445e-05,0.20403259992599487,676467,201,3.417982578277588,19104.14111881,1000.0
20600,0.5948835611343384,0.0003994107246398926,0.14246512949466705,679767,201,3.4015820026397705,19338.5633458,1000.0
20700,0.13252592086791992,0.001863241195678711,-0.26369255781173706,683067,201,3.384612560272217,19571.975896449996,1000.0
20800,0.9107359647750854,0.0010241866111755371,-0.1477661281824112,686367,201,3.370957136154175,19726.58067453,1000.0
20900,0.04635166376829147,0.0037320852279663086,-0.6193744540214539,689667,201,3.3546414375305176,19972.467163089997,1000.0
21000,229.302734375,-0.0006282329559326172,-0.3204551935195923,692967,201,3.3393659591674805,20206.37412053,1000.0
21100,0.010592038743197918,-0.0063190460205078125,-0.30950915813446045,696267,201,3.3231050968170166,20407.82935173,1000.0
21200,0.020892558619379997,0.0018969178199768066,-0.367690771818161,699567,201,3.3084163665771484,20599.137071150002,1000.0
