fps,nupdates,policy_entropy,explained_variance,total_timesteps,value_loss,ep_reward_mean,ep_len_mean
284,60300,22.325742721557617,0.32356101274490356,1206000,56.3288688659668,4138.7482177,1000.0
283,60400,22.326370239257812,-448.7516174316406,1208000,5875.69287109375,3810.0091556299994,1000.0
284,60500,22.296993255615234,-0.1629732847213745,1210000,264.599365234375,3810.0091556299994,1000.0
283,60600,22.285993576049805,-366436.59375,1212000,4458.64599609375,3420.88146963,1000.0
284,60700,22.298933029174805,0.8486309498548508,1214000,49.87654495239258,3420.88146963,1000.0
283,60800,22.318256378173828,-60.38520431518555,1216000,3605.092529296875,3060.7843842400007,1000.0
284,60900,22.320526123046875,-9.86470890045166,1218000,96.22050476074219,3060.7843842400007,1000.0
283,61000,22.327178955078125,-9.665305137634277,1220000,5402.033203125,2667.3995702200004,1000.0
284,61100,22.335472106933594,0.355438768863678,1222000,56.617767333984375,2667.3995702200004,1000.0
283,61200,22.342388153076172,-1.20851469039917,1224000,6803.64208984375,2304.7524850300006,1000.0
284,61300,22.352853775024414,0.14488130807876587,1226000,229.8166046142578,2304.7524850300006,1000.0
283,61400,22.3605899810791,0.11693376302719116,1228000,4689.75537109375,2162.1622545500004,1000.0
284,61500,22.35891342163086,0.38245534896850586,1230000,217.602294921875,2162.1622545500004,1000.0
283,61600,22.363601684570312,-3.650228977203369,1232000,11689.2080078125,2015.19557776,1000.0
284,61700,22.39824104309082,0.6918253600597382,1234000,80.50987243652344,2015.19557776,1000.0
283,61800,22.396299362182617,-7.824034690856934,1236000,14836.7939453125,1660.5781206100003,1000.0
284,61900,22.398887634277344,0.8775019496679306,1238000,151.0594482421875,1660.5781206100003,1000.0
283,62000,22.427488327026367,0.42661380767822266,1240000,13165.6513671875,1352.3622237399998,1000.0
284,62100,22.439533233642578,0.9239042177796364,1242000,134.51040649414062,1352.3622237399998,1000.0
283,62200,22.452335357666016,-14.761531829833984,1244000,14175.0703125,1059.43295671,1000.0
284,62300,22.465208053588867,-2.5719428062438965,1246000,811.261962890625,1059.43295671,1000.0
283,62400,22.451566696166992,-4.791659832000732,1248000,17499.357421875,778.6252472499998,1000.0
284,62500,22.472043991088867,0.9061073809862137,1250000,59.164039611816406,778.6252472499998,1000.0
283,62600,22.474332809448242,-2.3829431533813477,1252000,24634.0,732.32705642,1000.0
284,62700,22.4493350982666,0.8740194439888,1254000,390.4657897949219,732.32705642,1000.0
283,62800,22.44550323486328,-39.9874267578125,1256000,15923.9423828125,792.7886236000002,1000.0
284,62900,22.476743698120117,0.9134050533175468,1258000,112.61212158203125,792.7886236000002,1000.0
283,63000,22.48539161682129,-64.3615951538086,1260000,29879.0625,856.3471285399999,1000.0
