total_timesteps,policy_entropy,fps,value_loss,nupdates,explained_variance,ep_len_mean,ep_reward_mean
424500,27.389636993408203,296,0.07360968738794327,28300,-0.16304588317871094,1000.0,541.01192631
426000,27.52396583557129,295,3800.066162109375,28400,0.04897665977478027,1000.0,537.88823659
427500,27.641862869262695,296,0.0021946255583316088,28500,-1.5389857292175293,1000.0,537.88823659
429000,27.813716888427734,296,3853.7275390625,28600,0.04030907154083252,1000.0,537.80045677
430500,27.972095489501953,296,0.005867077969014645,28700,-1.1635582447052002,1000.0,537.80045677
432000,28.134939193725586,296,3839.92041015625,28800,-0.0038247108459472656,1000.0,536.49974078
433500,28.249425888061523,296,0.0034237951040267944,28900,-1.354151725769043,1000.0,536.49974078
435000,28.41901206970215,296,3837.989501953125,29000,0.0074356794357299805,1000.0,537.0318838199998
436500,28.509077072143555,296,0.0009167138487100601,29100,0.0006399750709533691,1000.0,537.0318838199998
438000,28.712621688842773,296,3617.401611328125,29200,0.060636043548583984,1000.0,539.3453414599999
439500,28.846187591552734,296,0.0018085504416376352,29300,-0.46835625171661377,1000.0,539.3453414599999
441000,28.981548309326172,296,3775.57861328125,29400,-0.022701740264892578,1000.0,541.6677623699999
442500,29.060392379760742,296,0.0015865865861997008,29500,-0.7856309413909912,1000.0,541.6677623699999
444000,29.204713821411133,296,3900.2421875,29600,0.01598811149597168,1000.0,549.1160044
445500,29.34552574157715,296,0.005830868147313595,29700,-0.14485204219818115,1000.0,549.1160044
447000,29.51637840270996,296,3852.343505859375,29800,0.015323996543884277,1000.0,562.30945688
448500,29.693233489990234,297,0.0014752660645172,29900,-0.05645632743835449,1000.0,562.30945688
450000,29.841737747192383,296,3838.113037109375,30000,0.0004680752754211426,1000.0,576.57307883
451500,29.993913650512695,297,0.0062031010165810585,30100,0.048126161098480225,1000.0,576.57307883
453000,30.158708572387695,296,3793.5927734375,30200,-0.009862065315246582,1000.0,585.0168108800001
454500,30.272981643676758,297,0.0007646973826922476,30300,0.26504427194595337,1000.0,585.0168108800001
456000,30.449934005737305,296,3844.660400390625,30400,-0.00528264045715332,1000.0,587.6957514700001
457500,30.608400344848633,297,0.002136640716344118,30500,0.3894422650337219,1000.0,587.6957514700001
459000,30.788232803344727,296,3803.514404296875,30600,0.008720815181732178,1000.0,588.9549366499999
460500,30.921478271484375,297,0.001954491948708892,30700,0.028084874153137207,1000.0,588.9549366499999
462000,31.115388870239258,296,3815.7822265625,30800,-0.01612544059753418,1000.0,589.07121208
463500,31.186983108520508,297,0.1267017275094986,30900,0.13809436559677124,1000.0,589.07121208
465000,31.338245391845703,296,3841.12646484375,31000,0.006174743175506592,1000.0,588.38708066
466500,31.499826431274414,297,0.00041383953066542745,31100,0.49644023180007935,1000.0,588.38708066
468000,31.62017822265625,296,3757.984375,31200,0.010266304016113281,1000.0,588.71682229
469500,31.717390060424805,297,0.0018148538656532764,31300,-0.0968102216720581,1000.0,588.71682229
471000,31.899980545043945,296,3793.26513671875,31400,-0.00817406177520752,1000.0,588.92335472
472500,32.0419921875,297,0.0015061846934258938,31500,-0.13728797435760498,1000.0,588.92335472
474000,32.19606018066406,296,3782.14404296875,31600,-0.017932415008544922,1000.0,589.46762293
475500,32.2232666015625,297,0.16340233385562897,31700,0.6399298906326294,1000.0,589.46762293
477000,32.28374099731445,296,2326.109130859375,31800,0.0746724009513855,1000.0,586.37802879
478500,32.40517044067383,297,0.005164278205484152,31900,0.6350819766521454,1000.0,586.37802879
480000,32.56439971923828,296,3313.47021484375,32000,0.08786672353744507,1000.0,585.96088791
481500,32.65056228637695,297,0.009413187392055988,32100,-0.5452897548675537,1000.0,585.96088791
483000,32.795127868652344,296,3741.61669921875,32200,-0.037241339683532715,1000.0,584.91959393
484500,32.874359130859375,297,0.00250051636248827,32300,-0.6496497392654419,1000.0,584.91959393
486000,32.989784240722656,296,3772.47021484375,32400,-0.016865968704223633,1000.0,584.3223602200001
487500,33.061073303222656,297,0.002461379859596491,32500,0.4188312888145447,1000.0,584.3223602200001
489000,33.19865798950195,296,3636.543701171875,32600,0.05965155363082886,1000.0,583.6292134
490500,33.273441314697266,297,0.1382898986339569,32700,0.33667588233947754,1000.0,583.6292134
492000,33.37674331665039,296,3822.003173828125,32800,-0.004861950874328613,1000.0,583.58338369
493500,33.444374084472656,297,0.03439747542142868,32900,0.7807246297597885,1000.0,583.58338369
495000,33.561805725097656,296,3810.20458984375,33000,-0.0026017427444458008,1000.0,582.78694477
496500,33.67735290527344,297,0.004583838861435652,33100,0.44094306230545044,1000.0,582.78694477
498000,33.810787200927734,296,3758.053955078125,33200,0.01787590980529785,1000.0,581.78107443
499500,33.913429260253906,297,0.001974541926756501,33300,-0.37925100326538086,1000.0,581.78107443
501000,34.03380584716797,296,3725.871337890625,33400,-0.0074433088302612305,1000.0,582.16466281
502500,34.13383483886719,297,0.004256356041878462,33500,0.17717212438583374,1000.0,582.16466281
504000,34.27048110961914,297,3715.4697265625,33600,-0.02002239227294922,1000.0,590.60279064
505500,34.31587600708008,297,0.0018250434659421444,33700,0.4494170546531677,1000.0,590.60279064
507000,34.44481658935547,297,3765.083740234375,33800,-0.013988733291625977,1000.0,603.7228826400002
508500,34.560665130615234,297,0.00385701609775424,33900,0.0601801872253418,1000.0,603.7228826400002
510000,34.69657897949219,297,3854.11083984375,34000,-0.006749868392944336,1000.0,614.0287106900001
511500,34.7667236328125,297,0.021426653489470482,34100,0.09283822774887085,1000.0,614.0287106900001
513000,34.88010025024414,297,3662.95361328125,34200,0.07047539949417114,1000.0,623.3762473900001
514500,34.97984313964844,297,0.005343758035451174,34300,0.38649189472198486,1000.0,623.3762473900001
516000,35.112266540527344,297,3823.784912109375,34400,0.035579562187194824,1000.0,628.4984827200001
517500,35.217838287353516,297,0.009379904717206955,34500,-0.9728473424911499,1000.0,628.4984827200001
519000,35.330421447753906,297,3756.79248046875,34600,-0.023131608963012695,1000.0,629.3089420700001
520500,35.40646743774414,297,0.02210264839231968,34700,0.37928712368011475,1000.0,629.3089420700001
522000,35.52928924560547,297,3757.293212890625,34800,-0.04985010623931885,1000.0,629.0091545500001
523500,35.63203430175781,297,0.0025575358886271715,34900,0.12751781940460205,1000.0,629.0091545500001
525000,35.77888107299805,297,3818.092041015625,35000,-0.01604139804840088,1000.0,628.99522312
526500,35.878257751464844,297,0.003772879485040903,35100,-0.4940732717514038,1000.0,628.99522312
528000,35.976478576660156,297,3717.463623046875,35200,-0.027149677276611328,1000.0,628.4742064100001
529500,36.0820198059082,297,0.003046964528039098,35300,-0.10987734794616699,1000.0,628.4742064100001
531000,36.17927932739258,297,3775.853271484375,35400,0.004528701305389404,1000.0,627.64012944
532500,36.27467346191406,297,0.0021739171352237463,35500,0.05846130847930908,1000.0,627.64012944
534000,36.37118911743164,297,3831.3037109375,35600,-0.000667572021484375,1000.0,627.12784239
535500,36.51304626464844,298,0.019450664520263672,35700,0.4849669337272644,1000.0,627.12784239
537000,36.63069152832031,297,3756.922119140625,35800,0.007148623466491699,1000.0,627.2959847500001
538500,36.703304290771484,298,0.002888741670176387,35900,0.23635023832321167,1000.0,627.2959847500001
540000,36.81351089477539,297,3780.222900390625,36000,-0.01819896697998047,1000.0,626.6534737300001
541500,36.86573028564453,298,0.0022908328101038933,36100,0.08190518617630005,1000.0,626.6534737300001
543000,36.960670471191406,297,3814.898193359375,36200,-0.02444934844970703,1000.0,628.26274549
544500,37.092105865478516,298,0.0021159162279218435,36300,0.09180039167404175,1000.0,628.26274549
