nupdates,policy_entropy,fps,total_timesteps,value_loss,explained_variance,ep_len_mean,ep_reward_mean
25300,28.300342559814453,295,885500,0.006522162817418575,0.03796881437301636,1000.0,1652.26683005
25400,28.38489532470703,295,889000,26481.5703125,0.0012940764427185059,1000.0,1651.73454858
25500,28.45621109008789,295,892500,0.0328495018184185,-0.020100116729736328,1000.0,1651.73454858
25600,28.55945587158203,295,896000,26677.517578125,-0.000827789306640625,1000.0,1651.3817902299998
25700,28.6253662109375,296,899500,0.007602023426443338,0.05139118432998657,1000.0,1651.3817902299998
25800,28.667587280273438,295,903000,26532.97265625,-0.0016193389892578125,1000.0,1651.0644191900005
25900,28.75136375427246,296,906500,0.4284432530403137,-0.00599825382232666,1000.0,1651.0644191900005
26000,28.79859733581543,296,910000,26580.541015625,0.0008105039596557617,1000.0,1649.5260114500002
26100,28.86148452758789,296,913500,0.011269072070717812,-0.09597063064575195,1000.0,1649.5260114500002
26200,28.87015151977539,296,917000,26584.943359375,0.0010096430778503418,1000.0,1649.3063891599998
26300,28.991592407226562,296,920500,0.009256635792553425,0.07396358251571655,1000.0,1649.3063891599998
26400,29.05208396911621,296,924000,26538.154296875,0.0005565881729125977,1000.0,1649.44689466
26500,29.088613510131836,296,927500,0.06662038713693619,0.022910773754119873,1000.0,1649.44689466
26600,29.160457611083984,296,931000,26555.861328125,0.0020635128021240234,1000.0,1649.3791605299996
26700,29.1917781829834,297,934500,0.01325622946023941,0.20939433574676514,1000.0,1649.3791605299996
26800,29.302602767944336,296,938000,26652.720703125,-0.0010062456130981445,1000.0,1649.461123
26900,29.33449363708496,297,941500,0.004430903121829033,-0.048745155334472656,1000.0,1649.461123
27000,29.402124404907227,297,945000,26706.818359375,0.006097674369812012,1000.0,1649.6694339
27100,29.483722686767578,297,948500,0.06765569746494293,0.06068849563598633,1000.0,1649.6694339
27200,29.56783676147461,297,952000,26816.76171875,0.0034123659133911133,1000.0,1650.29422636
27300,29.660226821899414,297,955500,0.010595609433948994,0.19171977043151855,1000.0,1650.29422636
27400,29.719655990600586,297,959000,26453.90625,0.006173253059387207,1000.0,1650.0781524099998
27500,29.821706771850586,297,962500,0.04745323956012726,-0.00030612945556640625,1000.0,1650.0781524099998
27600,29.90890121459961,297,966000,26700.58984375,0.0005564093589782715,1000.0,1650.6482195
27700,29.953996658325195,297,969500,0.005101618357002735,0.0726923942565918,1000.0,1650.6482195
27800,30.038570404052734,297,973000,26485.525390625,0.002304255962371826,1000.0,1650.2328156499998
27900,30.10799789428711,297,976500,0.008847279474139214,0.007650315761566162,1000.0,1650.2328156499998
28000,30.194677352905273,297,980000,26709.205078125,0.003537893295288086,1000.0,1650.67597857
28100,30.293540954589844,298,983500,0.01099615078419447,0.058210015296936035,1000.0,1650.67597857
28200,30.362957000732422,297,987000,26627.7109375,-0.0010470151901245117,1000.0,1650.9303560799997
28300,30.410860061645508,298,990500,0.0058219642378389835,0.10522979497909546,1000.0,1650.9303560799997
28400,30.493642807006836,297,994000,26619.71484375,0.003436148166656494,1000.0,1651.4496864100001
28500,30.582489013671875,298,997500,0.004988738335669041,0.1007007360458374,1000.0,1651.4496864100001
28600,30.676340103149414,298,1001000,26620.15625,0.0016983747482299805,1000.0,1651.1950870900002
28700,30.727468490600586,298,1004500,0.006716880481690168,-0.0340726375579834,1000.0,1651.1950870900002
28800,30.81580352783203,298,1008000,26577.978515625,-0.0006600618362426758,1000.0,1652.1747919499999
28900,30.880990982055664,298,1011500,0.025565575808286667,0.20461821556091309,1000.0,1652.1747919499999
29000,30.973772048950195,298,1015000,26658.060546875,0.002296149730682373,1000.0,1652.5838693899998
29100,31.041797637939453,298,1018500,0.006399966776371002,0.0030249953269958496,1000.0,1652.5838693899998
29200,31.104122161865234,298,1022000,26539.9375,-0.0001583099365234375,1000.0,1652.3946328599998
29300,31.17955780029297,298,1025500,0.007908115163445473,-0.027257204055786133,1000.0,1652.3946328599998
29400,31.236989974975586,298,1029000,26764.3125,0.001292407512664795,1000.0,1652.2247838800001
